RXN-13195	EC-2.1.1.256
RXN3O-117	
AMINO-ACID-RACEMASE-RXN	EC-5.1.1.10
RXN-8317	EC-1.14.19.35
TEICHOICSYN5-RXN	EC-2.4.1.52
RXN-14630	EC-3.2.1.192
RXN-17574	
ADENYLYLSULFATASE-RXN	EC-3.6.2.1
RXN-15154	EC-2.7.1.202
SORBOSE-5-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.123
L-ARABINONOLACTONASE-RXN	EC-3.1.1.15
RXN-17477	EC-1.3.7.14
RXN-20396	EC-2.3.1.50
HYDROXYPYRROLINEDEH-RXN	EC-1.5.1
RXN-20275	
RXN-18061	EC-2.7.8.M1
PGLYCEROLTRANSI-RXN	EC-2.7.8.20
RXN-17951	EC-1.4.3.19
RXN-8870	
RXN-12222	EC-1.14.13.130
RXN-20881	
NUCLEOSIDE-PHOSPHOTRANSFERASE-RXN	EC-2.7.1.77
RXN-12858	
RXN-8768	EC-5.4.99.60
TRANS-RXN0-443	
RXN-20728	
RXN-9376	
RXN-15059	EC-2.4.1.317
RXN-15614	EC-1.3.8.o
RXN-12752	EC-5.1.99.6
TRANS-RXN-387	
RXN-13328	EC-2.6.1.96
2.7.1.62-RXN	EC-2.7.1.62
RXN-9240	EC-2.1.1.222
RXN-18485	
RXN-15500	EC-1.14.14
RXN-16109	EC-1.14.13
2.4.2.12-RXN	EC-2.4.2.12
RXN-10030	EC-2.7.1.163
RXN-18381	EC-1.3.3.M3
RXN-21355	
R526-RXN	
RXN-18935	EC-3.1.1.23
RXN-21258	EC-2.4.1.M64
RXN-10877	
RXN-18839	
RXN-9905	EC-5.5.1.7
RXN-13221	EC-1.1.99.38
RXN-5647	EC-3.1.3.75
RXN-10755	EC-2.4.1.247
RXN-13810	EC-2.1.1.352
RXN-9806	EC-3.3.2
3.4.11.5-RXN	EC-3.4.11.5
RXN-4941	EC-2.7.1
RXN0-6938	
RXN-16018	EC-2.4.1
RXN-16583	EC-1.14.13
RXN-13699	EC-4.2.1.139
RXN-14249	EC-1.1.1.103
3.2.1.162-RXN	EC-3.2.1.162
4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	EC-1.14.13.2
RXN0-5306	EC-5.1.3.32
RXN-19374	EC-2.6.1
RXN-16485	EC-3.2.1.179	EC-3.2.1.180
RXN-17087	
3.5.1.86-RXN	EC-3.5.1.86
RXN-11331	
RXN-19267	EC-1.14.14
FOLYLPOLYGLUTAMATESYNTH-RXN	EC-6.3.2.17
RXN-11220	EC-2.3.1.218
RXN-7821	EC-2.1.1.338
DIPEPTIDYL-DIPEPTIDASE-RXN	EC-3.4.14.6
RXN-19879	EC-5.4.2.13
RXN-7683	EC-2.7.1.182
RXN-11796	EC-2.3.1.dq
RXN-19760	
2-ACYL2.3.1.15-RXN	EC-2.3.1.52
RXN-14151	EC-1.1.1
RXN66-162	EC-2.4.1.17
RXN-11698	EC-3.4.24.84
RXN-8414	EC-4.2.3.57
1.3.1.54-RXN	EC-1.3.1.54
RXN-14706	EC-2.7.1.181
RXN1UA-69	
ALPHA-AMYL-RXN	EC-3.2.1.1
RXN-8300	EC-1.14.19.23
TARTRATE-DECARBOXYLASE-RXN	EC-4.1.1.73
RXN-16979	EC-6.3.2.40
RXN-17556	
RXN-14613	
RXN-15133	EC-3.1.1.13
ADCLY-RXN	EC-4.1.3.38
KETOGLUCOSE-REDUCTASE-RXN	EC-1.1.1
SERINE--PYRUVATE-AMINOTRANSFERASE-RXN	EC-2.6.1.51
RXN-20380	EC-1.1.1.330
RXN-17456	
RXN-18044	EC-2.4.1
HYDROXYBUTYRATE-DIMER-HYDROLASE-RXN	EC-3.1.1.22
RXN-12307	EC-2.7.1.216
RXN-20242	EC-2.3.1.290
PENTANAMIDASE-RXN	EC-3.5.1.50
RXN-17921	
RXN-8846	
RXN-12200	EC-3.6.1.5
RXN-20861	EC-2.4.1.M51
NITRATE-REDUCTASE-NADPH-RXN	EC-1.7.1.3
RXN-12841	EC-5.4.99.46
2.4.1.57-RXN	EC-2.4.1.345
TRANS-RXN0-273	
RXN-8751	EC-1.17.1.4
RXN-9358	EC-2.5.1.74
RXN-20712	EC-6.3.2.34
RXN-15594	EC-2.1.1
RXN-15042	
RXN-13308	EC-1.3.1.93
RXN-12735	EC-4.1.3.43
TRANS-RXN-367	
2.7.1.134-RXN	EC-2.7.1.134
RXN-18464	EC-1.3.1.M12
RXN-9224	EC-1.14.13.240
RXN-16092	EC-1.1.99
RXN-15478	EC-1.2.1
RXN-10002	EC-2.5.1.97
RXN-18362	
RXN-21339	EC-4.2.1.106
R423-RXN	EC-1.14.14.108
RXN-18918	
RXN-21240	EC-3.4.14.b
RXN-10852	
RXN-18823	EC-4.2.3.169
RXN-9888	EC-1.13.11.M6
RXN-13200	
RXN-5466	EC-2.4.1.258
RXN-10734	EC-2.3.1
RXN-13793	
RXN-9772	EC-1.5.99
3.2.2.23-RXN	EC-3.2.2.23
RXN-4803	
RXN0-6575	EC-4.3.99.3
RXN-16000	
RXN-16561	EC-2.3.1.155
RXN-13681	EC-1.2.3.1
RXN-14228	EC-2.7.4.6
3.2.1.141-RXN	EC-3.2.1.141
RXN0-5260	EC-1.1.5.3
3.8.1.7-RXN	EC-3.8.1.7
RXN-19352	EC-3.3.2.9
RXN-16462	
RXN-17070	EC-2.3.1
RXN-19251	EC-6.3.2.53
RXN-11305	EC-2.6.1.M7
RXN-11192	EC-3.1.1.84
FATTY-ACYL-ETHYL-ESTER-SYNTHASE-RXN	EC-3.1.1.67
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9
RXN-7800	
RXN-7659	
RXN-19839	
RXN-19741	EC-1.17.99.M1
RXN-11778	
RXN-14128	EC-1.1.5
1.97.1.11-RXN	EC-1.21.99.3
RXN-11673	EC-6.2.1
RXN66-103	
3.5.1.64-RXN	EC-3.5.1.64
RXN-8393	EC-1.14.99
1.2.99.3-RXN	EC-1.2.5.2
RXN-14690	EC-1.6.3.2
RXN1G01-46	EC-5.1.1.10
ALKYLGLYCERONE-KINASE-RXN	EC-2.7.1.84
RXN-8283	EC-2.4.1
SULFATE-ADENYLYLTRANS-RXN	EC-2.7.7.4
RXN-16963	EC-4.2.99.23
RXN-17536	
RXN-14588	EC-3.2.1.193
RXN-15116	EC-1.6.3.5
ACONITATE-DELTA-ISOMERASE-RXN	EC-5.3.3.7
ITACONYL-COA-HYDRATASE-RXN	EC-4.2.1.56
SALICYLATE-1-MONOOXYGENASE-RXN	EC-1.14.13.1
RXN-20364	EC-2.3.1.297
RXN-1744	
RXN-18024	
HOMOSERDEAM-RXN	EC-4.4.1.1
RXN-12281	EC-1.3.1
RXN-20224	EC-2.3.1.26
P-PANTOCYSDECARB-RXN	EC-4.1.1.36
RXN-12178	EC-3.2.1.179
RXN-8827	
NAG6PDEACET-RXN	EC-3.5.1.25
RXN-20790	EC-2.4.99.12
2.4.1.26-RXN	EC-2.4.1.26
RXN-12820	EC-3.6.1.61
RXN-8726	EC-2.3.1
TRANS-RXN0-228	
RXN-20696	
RXN-9340	
RXN-15023	EC-1.14.13
RXN-15578	
RXN-12715	
TRANS-RXN-351	
2.6.1.50-RXN	EC-2.6.1.50
RXN-18443	EC-2.5.1.136
RXN-9204	EC-2.5.1.74
RXN-16076	EC-2.3.1.51
RXN-17900	
RIBOSE-ISOMERASE-RXN	EC-5.3.1.20
RXN-15455	EC-3.5.2
RXN-21322	EC-2.4.1
RXN-18345	EC-1.3.1.24
RXN-18900	
R322-RXN	EC-2.1.1.152
RXN-13295	EC-2.3.1.199
RXN-2122	EC-1.2.1
RXN-10832	EC-2.6.1
RXN-18802	EC-1.14.19.61
RXN-9871	EC-1.14.12
RXN-13182	EC-3.1.1.53
RXN-5341	EC-3.2.1.21
RXN-10709	
RXN-13771	EC-1.1.1
RXN-9752	EC-2.4.1
3.2.1.87-RXN	EC-3.2.1.87
RXN-4730	EC-2.4.1
RXN0-6485	EC-3.1.26.12
RXN-15969	
RXN-16544	EC-1.14.19
RXN-13662	
RXN-14208	EC-3.6.1.5
3.2.1.115-RXN	EC-3.2.1.115
3.6.3.44-RXN	EC-7.6.2.2
RXN0-5214	EC-3.1.1
RXN-19324	EC-3.1.3.73
RXN-16443	EC-1.14.13
RXN-17051	EC-1.14.14
RXN-19222	
RXN-11283	EC-1.1.98.2
RXN-11173	
ETHANOLAMINE-PHOSPHATE-PHOSPHO-LYASE-RXN	EC-4.2.3.2
DIGUANIDINOBUTANASE-RXN	EC-3.5.3.20
RXN-778	EC-1.14.14
RXN-7634	EC-1.14.11
RXN-19821	EC-4.1.1.117
RXN-19715	
RXN-11759	EC-3.2.1.168
RXN-14110	EC-2.4.1
1.7.1.12-RXN	EC-1.7.1.12
RXN-11653	EC-1.14.15.9
RXN4FS-12	EC-2.7.7.69
3.4.24.68-RXN	EC-3.4.24.68
RXN-8363	EC-1.14.19.23
1.2.1.42-RXN	EC-1.2.1.42
RXN-14674	
RXN1G-1634	EC-2.3.1
ALDEHYDE-OXIDASE-RXN	EC-1.2.3.1
RXN-8263	EC-2.4.1.237
SUCCDIAMINOPIMDESUCC-RXN	EC-3.5.1.18
RXN-16944	
RXN-17520	EC-1.14.15.19
RXN-14570	EC-2.3.1.234
RXN-15096	EC-2.7.1.196
ACETYLGLUTKIN-RXN	EC-2.7.2.8
ISOCIT-CLEAV-RXN	EC-4.1.3.1
RXNQT-4375	EC-3.1.3.106
RXN-20347	EC-1.3.1.93
RXN-17424	EC-1.1.1.396
RXN-18004	EC-2.6.1
HISTCYCLOHYD-RXN	EC-3.5.4.19
RXN-12260	
RXN-20206	
OROTATE-REDUCTASE-NADPH-RXN	EC-1.3.1.15
RXN-12158	EC-1.1.1.378
RXN-8809	EC-2.3.1.164
N6-METHYL-LYSINE-OXIDASE-RXN	EC-1.5.3.4
RXN-20768	EC-1.16.1.7
2.4.1.223-RXN	EC-2.4.1.223
RXN-12800	EC-2.1.1.237
RXN-8710	EC-2.3.1.M35
TRANS-RXN0-200	
RXN-20678	EC-4.2.1.17
RXN-9310	EC-4.2.99.20
RXN-15006	EC-1.2.1.38
RXN-15551	EC-4.2.1
RXN-12696	EC-2.4.1.35
2.5.1.70-RXN	EC-2.5.1.70
CHOLINE-SULFOTRANSFERASE-RXN	EC-2.8.2.6
TRANS-RXN-335	
RXN-18424	
RXN-16059	EC-1.3.99
RXN-9188	EC-5.1.3.M5
RHAMNISOM-RXN	EC-5.3.1.14
RXN-17875	EC-3.4.11.18
RXN-21306	EC-2.6.1.al
RXN-15434	EC-1.14.13.200
RXN-18884	EC-1.14.14.64
XYLONATE-DEHYDRATASE-RXN	EC-4.2.1.82
RXN-13276	EC-2.4.1.292
RXN-18317	EC-2.4.1.M19
RXN-10816	EC-1.1.1.110
R266-RXN	EC-4.2.1
RXN-9853	EC-1.14.12.26
RXN-21202	EC-6.2.2.c
RXN-5165	
RXN-13164	EC-2.4.1.301
RXN-13749	EC-1.1.1.339
RXN-10692	EC-1.17.1.3
3.2.1.7-RXN	EC-3.2.1.7
RXN-9736	EC-2.1.1.269
RXN0-6369	EC-1.7.5.1
RXN-4661	EC-1.5.99
RXN-16525	
RXN-15951	EC-6.3.2
3.6.3.21-RXN	EC-7.4.2.1
RXN-13640	EC-1.13.11
RXN-19305	EC-2.7.8.26
3.1.6.7-RXN	EC-3.1.6.7
RXN-17035	EC-2.3.1
RXN0-5185	EC-3.1.3
RXN-11264	EC-1.1.1
RXN-18784	EC-4.2.3.157
RXN-18860	
RXN-16420	EC-1.12.98
RXN-19205	
RXN-7753	EC-2.1.1
RXN-19803	EC-1.1.1.35
RXN-11157	
RXN-14195	EC-3.6.1.5
DIACYLGLYKIN-RXN	EC-2.7.1.107
RXN-11743	EC-2.4.2.1
RXN-7609	EC-3.1.3.5
1.5.1.35-RXN	EC-1.2.1
RXN-14089	EC-3.2.1.185
RXN3O-581	EC-2.7.1.227
RXN-11627	EC-2.4.1.212
RXN-8344	EC-2.7.7.75
3.4.24.53-RXN	EC-3.4.24.53
RXN-14653	
1.14.99.35-RXN	EC-1.14.99.35
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.44
RXN1F-474	EC-2.4.1
STEROL-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.173
RXN-8237	EC-1.2.1
RXN-17504	EC-1.14.14.20
RXN-16919	EC-2.3.1
INDOLE-3-ACETALDEHYDE-OXIDASE-RXN	EC-1.2.3.7
RXN-14546	EC-2.1.3.12
RXN-20331	
ACETOACETYL-COA-TRANSFER-RXN	EC-2.8.3.9
RXN-17973	EC-6.3.5.M2
RXNQT-4349	EC-2.6.1
RXN-12243	
RXN-17404	EC-1.1.1.395
OLEATE-HYDRATASE-RXN	EC-4.2.1.53
HALOALKANE-DEHALOGENASE-RXN	EC-3.8.1.5
RXN-8790	
RXN-20179	EC-1.1.98.7
RXN-20749	EC-1.3.1.123
RXN-12139	EC-1.14.14.M33
RXN-15082	EC-1.14.11
N-ACETYLTRANSFER-RXN	EC-2.3.1.1
RXN-12777	EC-2.3.1
2.4.1.206-RXN	EC-2.4.1.206
TRANS-RXN-72	
RXN-8694	EC-2.3.1.93
RXN-9290	EC-1.1.1.295
RXN-20662	EC-3.1.1
RXN-15534	EC-2.1.1
RXN-14989	EC-1.14.14
2.5.1.32-RXN	
RXN-12677	
RXN-18406	EC-1.8.5.7
CHLOROGENATE-HYDROLASE-RXN	EC-3.1.1.42
TRANS-RXN-31	
RXN-16042	EC-2.3.1.23
R621-RXN	EC-1.14.12.17
RXN-9172	EC-5.4.4
RXN-21289	
RXN-17851	EC-2.3.1.254
RXN-19926	
RXN-15414	EC-1.10.3.15
RXN-13242	
VCREDCHLOR-RXN	EC-1.21.99.M2
RXN-10784	EC-2.4.1.17
RXN-18301	EC-2.8.2.11
RXN-9836	EC-1.1.1
R227-RXN	
RXN-5107	EC-4.2.3.120
RXN-21181	EC-6.2.2.a	EC-6.2.2.b
RXN-13727	EC-2.1.1.9
RXN-13146	EC-2.6.1.93
3.2.1.47-RXN	EC-3.2.1.47
RXN-10670	EC-1.14.15.9
RXN0-5413	EC-2.4.1.M63
RXN-9715	EC-2.4.1
RXN-16508	
RXN-4509	EC-2.5.1.36
3.5.5.5-RXN	EC-3.5.5.5
RXN-15934	EC-6.3.2
RXN-19289	EC-1.14.20.14
RXN-13622	
RXN-17003	EC-1.14.19
3.1.4.39-RXN	EC-3.1.4.39
RXN-11249	
RXN0-5122	EC-2.4
DTDPGLUCDEHYDRAT-RXN	EC-4.2.1.46
RXN-18761	EC-2.4.1.195
RXN-7733	EC-1.12.98.3
RXN-16405	EC-1.2.1.84
RXN-19785	EC-1.14.14.145
RXN-19187	EC-2.7.1.M16
RXN-14175	EC-6.3.2.44
RXN-11130	EC-2.3.1
RXN-11724	EC-2.6.1
DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN	EC-3.1.3.34
1.4.1.21-RXN	EC-1.4.1.21
RXN-7589	EC-1.14.11
RXN3O-178	EC-2.1.1.41
RXN-14071	
RXN-8322	EC-1.14.19.22
RXN-11608	
RXN-14635	EC-2.1.1
3.4.24.37-RXN	EC-3.4.24.37
ADP-DEAMINASE-RXN	EC-3.5.4.17	EC-3.5.4.7
1.14.13.96-RXN	EC-1.14.14.139
SPERMINE-SYNTHASE-RXN	EC-2.5.1.22
RXN1F-161	
RXN-17482	
RXN-8217	EC-1.14.99
HYPONITRITE-REDUCTASE-RXN	EC-1.7.1.5
RXN-16888	EC-2.1.1
RXN-20295	EC-1.14.15
RXN-14523	EC-3.1.3.34
ABC-64-RXN	EC-7.6.2.7
RXN-17957	EC-2.7.8.37
RXN-12229	EC-2.4.1.275
RXNQT-4331	EC-2.8.2.38
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	EC-2.5.1.49
RXN-19686	EC-2.4.1
RXN-8773	EC-1.1.1.307
RXN-17386	EC-1.1.1.392
RXN-20733	EC-3.1.8.1
GUANINE-DEAMINASE-RXN	EC-3.5.4.3
RXN-15066	EC-2.3.1.23
RXN-20156	EC-3.1.6.d
RXN-12757	EC-5.4.4.5
RXN-12116	EC-3.1.4.54
TRANS-RXN-392	
MYO-INOSITOL-1-O-METHYLTRANSFERASE-RXN	EC-2.1.1.39
RXN-9245	EC-1.1.1.318
2.4.1.179-RXN	EC-2.4.1.179
RXN-15513	EC-5.4.2.11
RXN-8673	EC-1.4.3.19
2.4.2.32-RXN	EC-2.4.2.32
RXN-14965	EC-3.1.3.21
RXN-18387	EC-6.2.1.56
RXN-12656	
R545-RXN	EC-6.2.1.38
CERAMIDE-CHOLINEPHOSPHOTRANSFERASE-RXN	EC-2.7.8.3
TRANS-RXN-285	
RXN-21270	EC-3.5.1.ao
RXN-18843	
RXN-9156	EC-3.2.1.161
RXN-13226	EC-2.1.1.244
RXN-17829	EC-2.4.1
RXN-10760	EC-3.5.1.100
RXN-15395	
RXN-9819	EC-1.13.11
URIDINEKIN-RXN	EC-2.7.1.48
RXN-5002	EC-2.4.1.236
RXN-20649	EC-1.2.1.3
RXN-16022	EC-1.3.1.93
RXN-18283	EC-2.4.1
RXN-13706	EC-1.14.12.13
R206-RXN	
3.2.1.18-RXN	EC-3.2.1.18
RXN-21164	
RXN0-5359	EC-2.7.7.65
RXN-13123	EC-3.5.1.112
RXN-16490	
RXN-10644	EC-5.5.1.19
3.5.1.93-RXN	EC-3.5.1.93
RXN-9684	EC-4.2.1.124
RXN-19273	EC-5.5.1.32
RXN-4318	
RXN-16981	EC-1.14.11
RXN-15912	EC-3.2.2
RXN-11225	EC-2.3.1.219
RXN-13599	EC-5.1.2
DLACTDEHYDROGFAD-RXN	EC-1.1.5.12
3.1.3.72-RXN	EC-3.1.3.62	EC-3.1.3.72
RXN-7691	
RXN0-5061	EC-2.4.1
RXN-19765	EC-3.2.1.23
RXN-18743	EC-1.14.14.30
RXN-14156	EC-1.3.99.17
RXN-16379	EC-1.14.19.21
RXN-11708	EC-1.1.1
RXN-19171	EC-5.5.1.M10
1.3.1.64-RXN	EC-1.3.1.64
RXN-11106	EC-1.1.1.301
RXN1ZN3-10	
DEHYDDEOXPHOSGALACT-ALDOL-RXN	EC-4.1.2.55	EC-4.1.2.21
RXN-8305	EC-1.14.19.23
RXN-7564	EC-2.6.1
RXN-14618	EC-3.2.1.191
RXN-14049	
ADENOSINE-NUCLEOSIDASE-RXN	EC-3.2.2.7
RXN-11564	EC-4.1.1
SERINE-PHOSPHOETHANOLAMINE-SYNTHASE-RXN	EC-2.7.8.4
3.4.24.22-RXN	EC-3.4.24.22
RXN-17461	
1.14.13.71-RXN	EC-1.14.14.102
HYDROXYLAMINE-REDUCTASE-RXN	EC-1.7.99.1
RXN1A0-6310	EC-1.1.1
RXN-20251	
RXN-8193	
RXN-17930	
RXN-16865	
RXN-12205	
RXN-14505	EC-3.1.3
ABC-25-RXN	EC-7.6.2.11	EC-7.6.2.16
NITROETHANE-OXIDASE-RXN	EC-1.7.3.1
2.4.1.78-RXN	EC-2.4.1.78
RXNQT-4315	
RXN-8756	EC-1.2.1.100
RXN-19670	EC-3.7.1
RXN-20717	EC-3.5.1.68
RXN-17368	EC-6.3.4
RXN-15047	EC-3.1.12.1
GSAAMINOTRANS-RXN	EC-5.4.3.8
RXN-12741	EC-1.3.99.4
RXN-20137	EC-1.14.15.M10
TRANS-RXN-373	
RXN-12093	EC-6.3.4.20
RXN-9229	EC-2.1.1.64
MIMOSINASE-RXN	EC-3.5.1.61
RXN-15484	
2.4.1.149-RXN	EC-2.4.1.149
RXN-18368	EC-2.3.1.7
RXN-8646	EC-1.17.99.4
R463-RXN	
RXN-14940	EC-4.1.3.45
RXN-21246	EC-1.1.99.36
RXN-12627	EC-2.4.1.280
CDHMSARC-RXN	EC-2.3.3
RXN-18828	
TRANS-RXN-269	
RXN-13205	EC-5.1.3
RXN-10741	EC-1.13.11.71
RXN-9138	EC-2.5.1.M1
RXN-9781	EC-5.1.99.5
RXN-17797	EC-4.2.1.17
RXN-4842	
RXN-15378	EC-1.3.5.1
RXN-16007	
UNDECAPRENOL-KINASE-RXN	EC-2.7.1.66
RXN-13688	EC-1.1.1.357	EC-1.1.1.50	EC-1.1.1.213
RXN-20633	
3.2.1.149-RXN	EC-3.2.1.149
RXN-18264	EC-2.4.1.69
RXN0-5285	EC-5.1.2
R147-RXN	EC-1.13.11.54
RXN-16474	EC-3.5.1.12
RXN-21141	EC-2.3.2.w
3.5.1.69-RXN	EC-3.5.1.69
RXN-13105	
RXN-19256	EC-3.4.16.4
RXN-10627	EC-3.1.7.5
RXN-11206	
RXN-9640	
DIMETHUROPORDEHYDROG-RXN	EC-1.3.1.76
RXN-15886	EC-1.14.19
RXN-7666	
RXN-13567	
RXN-19749	EC-1.14.14.95
3.1.27.6-RXN	EC-4.6.1.21
RXN-14137	EC-1.7.1.14
RXN0-4401	EC-3.6.1.22
RXN-11680	EC-1.14.19.47
RXN-18723	
1.21.3.1-RXN	EC-1.21.3.1
RXN-16344	EC-1.14.20.8
RXN1K-87	EC-5.3.2.M1
RXN-4305	EC-2.5.1.112
RXN-8288	EC-2.4.1
RXN-19152	
RXN-16968	
RXN-11087	
RXN-14597	EC-3.2.1.195
DARAB5PISOM-RXN	EC-5.3.1.13
ACYL-COA-DEHYDROGENASE-NADP+-RXN	EC-1.3.1.8
RXN-7442	
SCYLLO-INOSAMINE-KINASE-RXN	EC-2.7.1.65
RXN-14024	EC-3.6.1.5
RXN-17444	EC-2.1.1.333
RXN-11547	EC-1.14.19.63
HYALURONATE-LYASE-RXN	EC-4.2.2.1
3.4.23.42-RXN	EC-3.4.23.42
RXN-20229	EC-2.3.1.26
1.14.13.42-RXN	
RXN-12185	EC-6.2.1
RXN18C3-58	EC-2.4.1
NARINGENIN-3-DIOXYGENASE-RXN	EC-1.14.11.9
RXN-16847	EC-1.14.15.14
2.4.1.38-RXN	EC-2.4.1.38
RXN-14484	EC-1.1.1.330
RXN-8732	EC-3.2.2.19
7KAPSYN-RXN	EC-2.3.1.47
RXN-20701	EC-1.1.1
RXNQT-4174	EC-1.1.1.85
RXN-15029	
RXN-19646	EC-1.14.19.76
RXN-12721	EC-1.8.4.9
RXN-17345	
TRANS-RXN-356	
GLYMALTOPHOSPHORYL-RXN	EC-2.4.1.1
RXN-9209	EC-1.14.13
RXN-20119	EC-1.3.1.72
RXN-17913	EC-3.6.1.71
RXN-12070	EC-3.7.1.14
RXN-15460	EC-1.14.14.168
METHYLGALLATE-RXN	EC-1.13.11
RXN-18350	
2.4.1.121-RXN	EC-2.4.1.121
R345-RXN	EC-6.3.5.10
RXN-8624	
RXN-21225	EC-2.3.1.16
RXN-14922	EC-5.5.1.24
RXN-18813	
RXN-12606	
RXN-13188	EC-1.14.18.9
CARNITINE-DECARBOXYLASE-RXN	EC-4.1.1.42
TRANS-RXN-241	
RXN-10720	
RXN-9757	
RXN-9092	EC-6.2.1.40
RXN-4735	EC-2.4.1.215
RXN-17781	EC-1.1.1.35
RXN-15974	
RXN-15362	EC-3.13.1.4
RXN-13667	EC-2.1.1
UDP-GLUCURONOSYLTRANSFERASE-RXN	EC-2.4.1.17
3.2.1.127-RXN	EC-3.2.1.127
RXN-20616	EC-2.1.1.354
RXN0-5224	EC-4.2.1.1
RXN-18247	EC-2.4.1.65
RXN-16451	
R102-RXN	EC-2.3.1.178
RXN-19227	EC-2.4.1
RXN-21100	EC-6.3.1.M6
RXN-11180	
RXN-13089	EC-1.2.1.83
DIHYDROFOLATEREDUCT-RXN	EC-1.5.1.3
RXN-10611	
RXN-7645	EC-2.3.1
RXN-9618	EC-2.3.1
RXN-19720	EC-1.14.18.10
RXN-15845	EC-2.1.1.312
RXN-14115	EC-3.1.3.6
RXN-13548	EC-3.5.99
RXN-11660	EC-2.4.1
3.1.22.2-RXN	EC-3.1.22.2
3.4.24.72-RXN	EC-3.4.24.72
RXN0-3922	EC-1.2.1.99
1.2.1.55-RXN	EC-1.1.1.279
RXN-18707	EC-2.8.1
RXN1G-2	EC-3.5.1.103
RXN-16310	EC-1.3.98
RXN-8268	EC-2.4.1
RXN-4225	EC-1.14.14
RXN-16949	EC-1.14.13.24
RXN-19129	EC-1.11.1.7
RXN-14575	
RXN-11069	
ACETYLPUTRESCINE-DEACETYLASE-RXN	EC-3.5.1.62
D-OCTOPINE-DEHYDROGENASE-RXN	EC-1.5
S-6-HYDROXYNICOTINE-OXIDASE-RXN	EC-1.5.3.5
RXN-7262	EC-1.4.4
RXN-17429	EC-3.1.1.100
RXN-14006	EC-5.3.3.i
HISTOLDEHYD-RXN	
RXN-11531	EC-1.14.14
RXN-20213	
3.4.23.25-RXN	EC-3.4.23.25
RXN-12164	EC-7.1.1.5
1.14.12.15-RXN	EC-1.14.12.15
NADH-DEHYDROG-A-RXN	EC-7.1.1.2
RXN18C3-41	EC-2.3.1
2.4.1.23-RXN	EC-2.4.1.23
RXN-16826	EC-1.14.13
RXN-8715	EC-2.3.1.110
RXN-14464	
RXN-20683	EC-1.1.99.13
6.3.1.4-RXN	EC-6.3.1.4
RXN-15012	
RXNN-404	EC-3.5.1.4
RXN-12702	EC-6.2.1.42
RXN-19630	EC-2.7.8
CHONDROITIN-4-SULFOTRANSFERASE-RXN	EC-2.8.2.5
RXN-17329	EC-1.14.13.211
TRANS-RXN-340	
GLYCINE-N-CHOLOYLTRANSFERASE-RXN	EC-2.3.1.65
RXN-9193	
RXN-8152	EC-1.14.11.32
RXN-17880	
RXN-20098	
RXN-15439	
RXN-12052	
RXN-18326	EC-6.3.2.M1
METHENYLTHFCYCLOHYDRO-RXN	EC-3.5.4.9
R302-RXN	EC-2.7.1.146
2.3.1.90-RXN	EC-2.3.1.90
RXN-21209	EC-2.7.7
RXN-8603	EC-4.2.3
RXN-13169	EC-1.14.13
RXN-14901	EC-3.2.1.208
RXN-10698	EC-1.1.1
RXN-12583	
RXN-9741	EC-1.7.99
CARBODEHYDRAT-RXN	EC-4.2.1.1
TRANS-RXN-220	EC-7.6.2.2
RXN-4704	
RXN-15958	EC-1.14.14
RXN-17761	EC-2.7.1.210
RXN-13645	
RXN-15344	EC-5.1.3.11
3.2.1.10-RXN	EC-3.2.1.10
TYRAMINE-N-FERULOYLTRANSFERASE-RXN	EC-2.3.1.110
RXN0-5195	EC-3.4.11
RXN-20600	
RXN-18789	EC-4.2.3.162
RXN-1823	EC-3.2.1.1
PYRUVDEH-RXN	EC-1.2.1.M10
RXN-16430	EC-5.1.1.21
RXN-19211	EC-4.1.1.106
RXN-9076	EC-2.4.1
RXN-11162	
RXN-21078	EC-4.1.1.102
DIAMTRANSAM-RXN	EC-2.6.1.29
RXN-13069	EC-1.1.1.328
RXN-7619	EC-1.14.14
RXN-10568	EC-4.2.3
RXN-19704	EC-2.4.1.363
RXN-9599	EC-1.4.3.22
RXN-14098	EC-2.7.1.74
RXN-15809	EC-4.1.3
RXN-11641	EC-1.14.14.90
RXN-13527	EC-1.5.5
3.4.24.58-RXN	EC-3.4.24.58
3.1.14.1-RXN	EC-3.1.14.1
1.17.99.1-RXN	EC-1.17.9.1
RXN0-3461	EC-3.4
RXN1F-93	EC-1.14.20.6
RXN-18682	EC-2.4.1.M23
RXN-8246	
RXN-16290	EC-6.3.2.46
RXN-16926	EC-1.1.1
RXN-4021	EC-2.1.1.41
RXN-14552	
RXN-19113	
ACETOLACTREDUCTOISOM-RXN	EC-1.1.1.86
RXN-11053	EC-1.2.1.77
RXNQT-4355	EC-1.1
D-ARABINONOLACTONASE-RXN	EC-3.1.1.30
RXN-17411	EC-1.1.1.391
RXN-7225	
HEMEOSYN-RXN	EC-2.5.1.141
RXN-13983	EC-2.3.1
RXN-20184	EC-1.14.11.ak
RXN-11511	EC-1.14.12.22
